Month,Year,Temp,Ice,Veg,Flood,Rain_mm,Province,,
1,2006,13.66516129,-0.112774194,3301.4515,0,120.059,Federal,,
2,2006,22.00625,-0.135178571,3765.532,0,52.591,Federal,,
3,2006,21.56370968,-0.100612903,4155.9445,0,40.948,Federal,,
4,2006,32.6878,-0.244833333,3226.209,0,51.148,Federal,,
5,2006,39.16796774,-0.306483871,2653.712,0,35.204,Federal,,
6,2006,37.8199,-0.290866667,3002.5895,0,88.318,Federal,,
7,2006,30.8956129,-0.10116129,4897.03,0,427.543,Federal,,
8,2006,29.61012903,-0.08183871,5422.9,0,387.567,Federal,,
9,2006,30.01753333,-0.285033333,4317.612,0,86.567,Federal,,
10,2006,29.07287097,-0.332096774,4212.298,0,34.158,Federal,,
11,2006,20.95103333,-0.180733333,3984.4195,0,30.775,Federal,,
12,2006,15.25680645,-0.156806452,4190.3235,0,80.935,Federal,,
1,2007,15.27296774,-0.319322581,4027.407,0,12.778,Federal,,
2,2007,16.96528571,-0.038392857,4313.171,0,217.834,Federal,,
3,2007,21.11854839,-0.101032258,4553.71,0,149.413,Federal,,
4,2007,32.6296,-0.339766667,4157.577,0,23.606,Federal,,
5,2007,36.39325806,-0.30816129,3260.002,0,54.07,Federal,,
6,2007,38.06876667,-0.2261,3843.6365,0,130.073,Federal,,
7,2007,29.87212903,-0.222193548,5236.7925,0,333.18,Federal,,
8,2007,29.36458065,-0.178290323,5340.094,0,248.977,Federal,,
9,2007,28.384,-0.2532,4718.221,0,130.169,Federal,,
10,2007,29.52932258,-0.403322581,3857.769,0,9.912,Federal,,
11,2007,23.0103,-0.272166667,3491.9675,0,17.753,Federal,,
12,2007,15.74377419,-0.216129032,3448.5905,0,23.561,Federal,,
1,2008,11.86087097,-0.136903226,3398.3615,0,154.398,Federal,,
2,2008,16.36872414,-0.203137931,3330.4345,0,36.38,Federal,,
3,2008,25.71180645,-0.268612903,4135.409,0,22.768,Federal,,
4,2008,27.2889,-0.154766667,4185.6695,0,129.688,Federal,,
5,2008,36.88364516,-0.289516129,3153.6175,0,39.036,Federal,,
6,2008,30.346,-0.112733333,4357.054,0,204.314,Federal,,
7,2008,28.75616129,-0.135741935,5486.4595,0,271.225,Federal,,
8,2008,29.25754839,-0.138516129,5185.173,0,222.584,Federal,,
9,2008,29.8039,-0.245466667,4234.969,0,125.365,Federal,,
10,2008,28.56664516,-0.326709677,3782.055,0,35.499,Federal,,
11,2008,22.41186667,-0.312066667,3727.123,0,28.198,Federal,,
12,2008,16.83262069,-0.152448276,3897.6855,0,60.722,Federal,,
1,2009,13.96809677,-0.123516129,4296.5285,0,90.517,Federal,,
2,2009,17.98032143,-0.145892857,4356.828,0,79.184,Federal,,
3,2009,23.17729032,-0.055064516,4309.806,0,69.186,Federal,,
4,2009,26.52726667,-0.141966667,4192.1395,0,87.234,Federal,,
5,2009,36.6386129,-0.308709677,3311.8625,0,34.237,Federal,,
6,2009,40.67793333,-0.2993,2868.512,0,43.305,Federal,,
7,2009,36.77687097,-0.216806452,3472.7085,0,130.617,Federal,,
8,2009,29.42129032,-0.20783871,5471.6255,0,204.726,Federal,,
9,2009,31.2356,-0.349633333,4342.3235,0,53.138,Federal,,
10,2009,30.52106452,-0.347032258,3333.207,0,22.104,Federal,,
11,2009,22.02026667,-0.255966667,3052.9445,0,10.524,Federal,,
12,2009,16.69329032,-0.146258065,2817.211,0,17.715,Federal,,
1,2010,16.35474194,-0.203387097,2523.0715,0,29.068,Federal,,
2,2010,15.25882143,-0.056821429,2830.5465,0,160.62,Federal,,
